Metabolite_names,Symtoms
LysoPC(14:0/0:0),1-Myristoyl-Sn-Glycero-3-Phosphocholine
LysoPC(15:0/0:0),1-Pentadecanoylglycerophosphocholine
LysoPC(16:0),LPC 16:0
LysoPC(16:0/0:0),1-Palmitoyllysophosphatidylcholine
LysoPC(16:1),LysoPC(16:1(9Z)/0:0)
LysoPC(18:1(9Z)/0:0),1-(9Z-Octadecenoyl)-Sn-Glycero-3-Phosphocholine
LysoPC(18:1(9Z)/0:0),1-Oleoyl-Sn-Glycero-3-Phosphocholine
LysoPC(18:2 (2N Isomer)),LysoPC 18:2 (2N Isomer)
"LysoPC(18:2(9Z,12Z))","LysoPC[18:2(9Z,12Z)]"
"LysoPC(18:2(9Z,12Z)/0:0)",1-Linoleoylglycerophosphocholine
LysoPC(18:2),LysoPC 18:2
"LysoPC(18:3(6Z,9Z,12Z))","LysoPC[18:3(6Z,9Z,12Z)]"
LysoPC(20:0/0:0),1-Arachidoylglycerophosphocholine
LysoPC(20:0/0:0),LPC(20:0)
LysoPC(20:1(11Z)),LysoPC(20:1(11Z)/0:0)
"LysoPC(20:4(5Z,8Z,11Z,14Z))","LysoPC[20:4(5Z,8Z,11Z,14Z)]"
LysoPC(20:5),LPC 20:5
LysoPC(22:6),LPC(22:6)
LysoPE(0:0/16:0),LPE(16:0)
"LysoPE(0:0/18:2(9Z,12Z))",LysoPE(18:2)
"LysoPE(0:0/20:2(11Z,14Z))","LysoPE[0:0/20:2(11Z,14Z)]"
LysoPE(0:0/22:1(13Z)),LysoPE[0:0/22:1(13Z)]
LysoPE(0:0/22:4),LPE (22:4)
LysoPE(15:0),LPE(15:0)
LysoPE(16:0),LysoPE(0:0/16:0)
LysoPE(16:0/0:0),1-Palmitoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine
LysoPE(17:1),LPE(17:1)
LysoPE(18:0),LysoPE(18:0/0:0)
LysoPE(18:0/0:0),LPE(18:0)
LysoPE(18:0/0:0),LysoPE(0:0/18:0)
LysoPE(18:0/0:0),LysoPE(18:0)
LysoPE(18:0/0:0),1-Stearoyl-2-Hydroxy-Sn-Glycero-3-Phosphoethanolamine
LysoPE(18:0/0:0),LPE 18:0
LysoPE(18:1(9Z)/0:0),1-Oleoyl-Sn-Glycero-3-Phosphoethanolamine
LysoPE(18:1(9Z)/0:0),1-Oleoylglycerophosphoethanolamine
"LysoPE(20:2(11Z,14Z)/0:0)",LPE(20:2)
